customerid,first_purchase,last_purchase,total_orders,total_revenue,tenure_days
12346.0,2011-01-18 10:01:00,2011-01-18 10:01:00,1,77183.6,0
12347.0,2010-12-07 14:57:00,2011-12-07 15:52:00,7,4310.0,365
12348.0,2010-12-16 19:09:00,2011-09-25 13:13:00,4,1797.24,282
12349.0,2011-11-21 09:51:00,2011-11-21 09:51:00,1,1757.55,0
12350.0,2011-02-02 16:01:00,2011-02-02 16:01:00,1,334.40000000000003,0
12352.0,2011-02-16 12:33:00,2011-11-03 14:37:00,8,2506.04,260
12353.0,2011-05-19 17:47:00,2011-05-19 17:47:00,1,89.0,0
12354.0,2011-04-21 13:11:00,2011-04-21 13:11:00,1,1079.4,0
12355.0,2011-05-09 13:49:00,2011-05-09 13:49:00,1,459.40000000000003,0
12356.0,2011-01-18 09:50:00,2011-11-17 08:40:00,3,2811.43,302
12357.0,2011-11-06 16:07:00,2011-11-06 16:07:00,1,6207.67,0
12358.0,2011-07-12 10:04:00,2011-12-08 10:26:00,2,1168.06,149
12359.0,2011-01-12 12:43:00,2011-10-13 12:47:00,4,6372.58,274
12360.0,2011-05-23 09:43:00,2011-10-18 15:22:00,3,2662.06,148
12361.0,2011-02-25 13:51:00,2011-02-25 13:51:00,1,189.9,0
12362.0,2011-02-17 10:30:00,2011-12-06 15:40:00,10,5226.2300000000005,292
12363.0,2011-04-11 13:29:00,2011-08-22 10:18:00,2,552.0,132
12364.0,2011-08-19 15:24:00,2011-12-02 10:22:00,4,1313.1,104
12365.0,2011-02-21 13:51:00,2011-02-21 14:04:00,2,641.38,0
12367.0,2011-12-05 16:48:00,2011-12-05 16:48:00,1,168.9,0
12370.0,2010-12-14 12:58:00,2011-10-19 14:51:00,4,3545.69,309
12371.0,2011-10-11 10:43:00,2011-10-26 10:16:00,2,1887.96,14
12372.0,2011-02-16 12:46:00,2011-09-29 12:12:00,3,1298.04,224
12373.0,2011-02-01 13:10:00,2011-02-01 13:10:00,1,364.6,0
12374.0,2011-11-14 15:37:00,2011-11-14 15:37:00,1,742.9300000000001,0
12375.0,2011-09-02 14:23:00,2011-11-29 10:36:00,2,457.5,87
12377.0,2010-12-20 09:37:00,2011-01-28 15:45:00,2,1628.1200000000001,39
12378.0,2011-08-02 10:34:00,2011-08-02 10:34:00,1,4008.62,0
12379.0,2011-06-22 16:32:00,2011-09-19 10:09:00,2,852.24,88
12380.0,2011-06-07 09:49:00,2011-11-18 11:27:00,4,2724.81,164
12381.0,2011-08-12 09:57:00,2011-12-05 12:44:00,5,1845.31,115
12383.0,2010-12-22 14:28:00,2011-06-08 08:02:00,5,1850.56,167
12384.0,2011-08-10 11:23:00,2011-11-11 08:39:00,2,585.27,92
12386.0,2010-12-08 09:53:00,2011-01-06 12:37:00,2,401.9,29
12388.0,2011-01-17 11:12:00,2011-11-24 12:30:00,6,2780.6600000000003,311
12390.0,2011-09-21 09:33:00,2011-09-21 09:33:00,1,549.84,0
12391.0,2011-11-18 12:07:00,2011-11-18 12:07:00,1,460.89,0
12393.0,2011-01-11 09:47:00,2011-09-28 15:41:00,4,1582.6000000000001,260
12394.0,2011-05-06 14:01:00,2011-10-07 08:08:00,2,1272.48,153
12395.0,2010-12-03 16:35:00,2011-11-20 15:21:00,12,3018.63,351
12397.0,2011-07-27 14:21:00,2011-11-04 09:52:00,2,2409.9,99
12398.0,2011-10-25 10:27:00,2011-10-25 10:27:00,1,1635.6599999999999,0
12399.0,2011-03-23 09:42:00,2011-08-12 13:15:00,4,1108.65,142
12401.0,2011-02-09 13:50:00,2011-02-09 13:50:00,1,84.3,0
12402.0,2011-01-20 13:49:00,2011-01-20 13:49:00,1,225.60000000000002,0
12403.0,2011-10-21 10:51:00,2011-10-21 10:51:00,1,427.7,0
12405.0,2011-07-14 08:52:00,2011-07-14 08:52:00,1,1710.39,0
12406.0,2011-06-09 10:23:00,2011-11-17 19:22:00,2,3415.3,161
12407.0,2011-03-20 13:21:00,2011-10-21 10:11:00,5,1708.12,214
12408.0,2011-03-24 14:46:00,2011-11-07 12:27:00,5,2888.55,227
12409.0,2011-06-10 12:19:00,2011-09-22 10:38:00,3,11072.67,103
12410.0,2011-02-04 10:38:00,2011-02-04 10:39:00,2,693.33,0
12412.0,2011-06-23 13:51:00,2011-09-26 10:16:00,3,1226.88,94
12413.0,2011-01-06 16:12:00,2011-10-04 09:00:00,3,758.1,270
12414.0,2011-02-02 14:51:00,2011-05-06 14:51:00,3,562.4100000000001,93
12415.0,2011-01-06 11:12:00,2011-11-15 14:22:00,21,124914.53,313
12417.0,2010-12-17 11:51:00,2011-12-06 14:52:00,9,3649.1,354
12418.0,2011-08-19 11:08:00,2011-08-19 11:08:00,1,668.58,0
12420.0,2011-10-07 08:55:00,2011-10-07 08:55:00,1,600.39,0
12421.0,2011-01-24 15:09:00,2011-11-24 09:07:00,4,807.04,303
12422.0,2011-01-19 09:13:00,2011-09-05 09:48:00,3,803.5600000000001,229
12423.0,2010-12-21 10:54:00,2011-12-09 10:10:00,8,1859.31,352
12424.0,2011-06-30 12:06:00,2011-06-30 12:06:00,2,1760.96,0
12425.0,2011-09-22 17:31:00,2011-09-22 17:31:00,1,777.2,0
12426.0,2011-05-29 12:26:00,2011-05-29 12:26:00,1,582.73,0
12427.0,2010-12-03 10:44:00,2011-11-18 08:56:00,3,825.8000000000001,349
12428.0,2011-03-01 09:33:00,2011-11-14 08:22:00,9,7956.46,257
12429.0,2010-12-09 12:05:00,2011-11-30 17:22:00,4,3750.4,356
12430.0,2011-10-27 15:09:00,2011-10-27 15:09:00,1,256.4,0
12431.0,2010-12-01 10:03:00,2011-11-04 11:55:00,15,6487.45,338
12432.0,2011-06-20 13:27:00,2011-10-28 11:43:00,5,5059.32,129
12433.0,2010-12-01 13:24:00,2011-12-09 10:02:00,7,13375.87,372
12434.0,2011-03-24 13:05:00,2011-09-16 12:38:00,2,806.14,175
12435.0,2011-03-17 07:40:00,2011-09-21 09:06:00,2,7829.89,188
12436.0,2011-09-01 12:09:00,2011-09-01 12:09:00,1,509.01,0
12437.0,2011-01-12 14:13:00,2011-12-08 11:35:00,18,4951.41,329
12438.0,2011-07-22 13:29:00,2011-11-25 13:28:00,2,2906.85,125
12441.0,2010-12-08 10:45:00,2010-12-08 10:45:00,1,173.55,0
12442.0,2011-12-06 14:22:00,2011-12-06 14:22:00,1,172.06,0
12444.0,2011-06-21 14:00:00,2011-11-18 13:23:00,5,5005.46,149
12445.0,2011-11-17 18:43:00,2011-11-17 18:43:00,1,133.4,0
12446.0,2011-10-13 12:50:00,2011-10-13 12:50:00,1,1002.3100000000001,0
12447.0,2011-04-10 13:25:00,2011-04-10 13:25:00,1,476.49,0
12448.0,2011-10-26 13:46:00,2011-10-26 13:46:00,1,449.45,0
12449.0,2011-06-05 15:37:00,2011-11-17 13:46:00,4,4067.29,164
12450.0,2011-06-19 14:36:00,2011-07-06 14:41:00,2,197.88,17
12451.0,2011-01-19 09:05:00,2011-11-29 08:40:00,5,9035.52,313
12452.0,2011-11-23 08:05:00,2011-11-23 10:28:00,2,430.57000000000005,0
12453.0,2011-07-28 14:08:00,2011-07-28 14:08:00,1,707.09,0
12454.0,2011-10-14 17:13:00,2011-10-14 17:13:00,1,3528.34,0
12455.0,2011-02-16 09:56:00,2011-09-27 15:31:00,6,2466.86,223
12456.0,2011-03-30 09:12:00,2011-10-26 14:41:00,3,3181.04,210
12457.0,2011-04-14 18:57:00,2011-10-04 13:13:00,7,2363.23,172
12458.0,2011-02-28 10:55:00,2011-09-29 15:25:00,2,947.4,213
12461.0,2011-07-08 10:23:00,2011-09-06 16:57:00,2,826.88,60
12462.0,2011-02-09 14:44:00,2011-11-21 09:11:00,2,1189.59,284
12463.0,2011-04-12 12:47:00,2011-10-17 13:44:00,4,1344.78,188
12464.0,2011-02-03 13:30:00,2011-11-29 13:33:00,8,1212.05,299
12465.0,2011-06-23 13:37:00,2011-11-22 16:34:00,2,742.19,152
12468.0,2011-01-27 13:29:00,2011-06-05 11:36:00,2,729.54,128
12471.0,2010-12-10 09:35:00,2011-12-07 15:43:00,30,19824.05,362
12472.0,2010-12-05 14:19:00,2011-11-07 14:01:00,7,6572.11,336
12473.0,2011-06-01 10:15:00,2011-11-10 13:46:00,5,3938.55,162
12474.0,2011-01-14 10:06:00,2011-11-22 14:39:00,18,7375.79,312
12475.0,2011-10-17 10:10:00,2011-10-17 10:10:00,1,723.38,0
12476.0,2010-12-13 14:39:00,2011-11-24 12:40:00,11,6816.42,345
12477.0,2011-02-11 12:45:00,2011-11-17 09:51:00,6,13219.74,278
12478.0,2011-12-06 09:56:00,2011-12-06 09:56:00,1,680.99,0
12479.0,2011-11-28 13:26:00,2011-11-28 13:26:00,1,527.2,0
12480.0,2011-01-07 15:27:00,2011-11-11 14:52:00,4,3281.63,307
12481.0,2010-12-09 10:13:00,2011-11-17 08:29:00,10,5596.32,342
12483.0,2011-01-04 14:20:00,2011-11-22 17:02:00,8,2484.98,322
12484.0,2011-01-07 14:04:00,2011-11-07 11:37:00,6,4541.72,303
12488.0,2011-09-25 10:34:00,2011-11-30 08:50:00,3,1298.66,65
12489.0,2011-01-07 13:13:00,2011-01-07 13:13:00,1,334.93,0
12490.0,2011-01-14 09:13:00,2011-12-04 16:07:00,10,5417.93,324
12491.0,2011-11-01 12:18:00,2011-11-01 12:18:00,1,460.40000000000003,0
12492.0,2011-08-26 14:51:00,2011-10-07 15:15:00,2,263.21000000000004,42
12493.0,2011-05-26 14:53:00,2011-06-27 10:17:00,2,433.74,31
12494.0,2010-12-09 11:31:00,2011-11-24 09:34:00,7,1246.1,349
12497.0,2011-09-19 12:29:00,2011-09-19 12:29:00,1,1043.1,0
12498.0,2011-10-13 09:30:00,2011-11-18 12:53:00,3,403.70000000000005,36
12500.0,2011-01-10 09:48:00,2011-11-16 16:20:00,11,4257.82,310
12501.0,2011-01-07 12:28:00,2011-01-07 12:28:00,1,2169.39,0
12502.0,2011-02-03 10:41:00,2011-09-05 11:52:00,5,3723.87,214
12504.0,2011-11-09 14:56:00,2011-11-21 16:02:00,2,482.04999999999995,12
12506.0,2011-04-21 08:54:00,2011-04-21 08:54:00,1,73.5,0
12507.0,2011-02-14 09:24:00,2011-07-28 17:09:00,3,1304.81,164
12508.0,2011-11-10 16:27:00,2011-11-13 15:37:00,2,398.27,2
12509.0,2011-02-28 14:45:00,2011-02-28 14:45:00,1,176.5,0
12510.0,2011-01-18 14:04:00,2011-07-20 10:15:00,2,982.5699999999999,182
12512.0,2011-10-04 14:53:00,2011-10-04 14:55:00,2,138.03,0
12513.0,2011-08-19 10:51:00,2011-08-19 10:51:00,1,612.29,0
12514.0,2011-03-17 16:38:00,2011-03-17 16:38:00,1,1017.6800000000001,0
12515.0,2010-12-21 15:43:00,2010-12-21 15:43:00,1,383.7,0
12516.0,2011-06-12 11:37:00,2011-09-23 09:13:00,2,1312.06,102
12517.0,2011-06-02 15:13:00,2011-11-11 14:04:00,5,2502.84,161
12518.0,2011-08-21 13:18:00,2011-12-09 10:13:00,5,2056.89,109
12519.0,2011-10-07 09:26:00,2011-10-07 09:26:00,1,340.84000000000003,0
12520.0,2011-03-11 11:35:00,2011-09-21 15:23:00,5,2634.26,194
12521.0,2011-07-20 10:51:00,2011-07-20 10:51:00,1,599.68,0
12522.0,2011-10-19 14:41:00,2011-10-31 15:30:00,2,192.72,12
12523.0,2011-01-12 09:43:00,2011-11-20 12:55:00,11,1789.77,312
12524.0,2011-01-10 10:35:00,2011-11-30 15:31:00,8,4485.72,324
12526.0,2011-09-06 14:19:00,2011-12-09 12:09:00,3,1316.66,93
12527.0,2011-01-18 12:05:00,2011-09-19 11:55:00,3,348.71000000000004,243
12528.0,2011-01-31 09:05:00,2011-11-30 14:40:00,6,1933.48,303
12530.0,2011-01-07 10:04:00,2011-10-11 12:34:00,4,1662.28,277
12531.0,2011-11-25 11:12:00,2011-11-25 11:12:00,1,125.22,0
12532.0,2011-11-09 13:47:00,2011-11-09 13:47:00,1,349.83000000000004,0
12534.0,2011-08-01 10:26:00,2011-08-01 10:26:00,1,1089.18,0
12535.0,2011-06-06 12:47:00,2011-09-09 08:48:00,2,716.35,94
12536.0,2011-10-11 14:52:00,2011-10-27 14:20:00,3,12601.830000000002,15
12538.0,2011-11-10 17:16:00,2011-11-10 17:16:00,1,363.95,0
12539.0,2011-01-10 09:11:00,2011-11-17 13:30:00,4,5568.35,311
12540.0,2010-12-13 09:39:00,2011-11-20 11:31:00,17,13400.24,342
12541.0,2011-03-04 09:32:00,2011-11-10 10:40:00,3,981.18,251
12544.0,2011-11-03 16:15:00,2011-11-03 16:15:00,1,372.7,0
12545.0,2011-03-25 12:04:00,2011-09-25 13:39:00,2,1000.39,184
12546.0,2011-09-23 09:44:00,2011-10-24 12:09:00,2,1161.5,31
12547.0,2011-03-04 12:46:00,2011-05-26 12:38:00,2,207.8,82
12548.0,2011-06-26 15:35:00,2011-06-26 15:35:00,1,95.19999999999999,0
12550.0,2011-09-21 14:35:00,2011-09-21 14:35:00,1,964.83,0
12551.0,2010-12-17 11:23:00,2010-12-17 11:23:00,1,168.0,0
12552.0,2011-10-31 12:11:00,2011-11-01 10:02:00,2,437.82,0
12553.0,2011-01-14 10:42:00,2011-12-01 16:38:00,10,3692.28,321
12556.0,2011-07-11 13:35:00,2011-10-20 13:06:00,2,603.71,100
12557.0,2010-12-03 12:20:00,2011-11-23 16:59:00,5,11990.960000000001,355
12558.0,2011-12-02 10:41:00,2011-12-02 10:41:00,1,269.96,0
12559.0,2011-01-24 10:12:00,2011-02-02 09:49:00,2,561.71,8
12560.0,2011-07-19 15:55:00,2011-12-04 13:54:00,3,2134.01,137
12561.0,2011-02-10 11:39:00,2011-02-10 11:39:00,1,238.85,0
12562.0,2011-05-25 12:44:00,2011-12-01 17:20:00,7,3781.7400000000002,190
12564.0,2011-03-23 14:55:00,2011-03-23 14:55:00,1,456.90000000000003,0
12565.0,2011-02-24 10:34:00,2011-02-24 10:34:00,1,145.92000000000002,0
12566.0,2011-09-14 14:30:00,2011-09-14 14:30:00,1,351.65,0
12567.0,2010-12-05 11:57:00,2011-11-17 11:02:00,10,9401.28,346
12569.0,2011-04-01 13:47:00,2011-12-07 16:24:00,32,4124.6900000000005,250
12571.0,2011-08-10 12:35:00,2011-10-31 10:19:00,2,519.61,81
12572.0,2011-10-19 08:20:00,2011-12-01 09:20:00,2,1020.4200000000001,43
12573.0,2011-04-26 15:52:00,2011-04-26 15:52:00,1,160.54000000000002,0
12574.0,2011-01-28 09:20:00,2011-01-28 09:20:00,1,218.45000000000002,0
12576.0,2011-02-08 11:31:00,2011-11-04 10:11:00,5,1315.83,268
12577.0,2010-12-15 16:21:00,2011-11-04 13:24:00,3,657.8,323
12578.0,2011-01-13 15:34:00,2011-11-18 13:30:00,2,2794.51,308
12579.0,2011-09-22 17:15:00,2011-09-22 17:15:00,1,440.42,0
12580.0,2011-04-07 10:24:00,2011-04-07 10:24:00,1,415.7,0
12581.0,2011-10-31 08:56:00,2011-10-31 08:56:00,1,197.71,0
12582.0,2011-02-24 11:42:00,2011-04-15 08:45:00,2,511.36,49
12583.0,2010-12-01 08:45:00,2011-12-07 08:07:00,15,7281.38,370
12584.0,2011-03-04 15:15:00,2011-12-06 09:35:00,9,2338.15,276
12585.0,2010-12-23 12:58:00,2011-04-19 13:39:00,2,2040.1,117
12586.0,2011-11-22 16:24:00,2011-11-22 16:24:00,1,196.94000000000003,0
12587.0,2011-12-02 12:47:00,2011-12-02 12:47:00,1,144.0,0
12588.0,2011-10-31 15:01:00,2011-10-31 15:01:00,1,214.89999999999998,0
12589.0,2011-07-18 12:05:00,2011-11-11 10:19:00,2,646.68,115
12590.0,2011-05-12 14:46:00,2011-05-12 14:52:00,2,9864.26,0
12591.0,2011-01-26 14:35:00,2011-01-26 14:35:00,1,452.84999999999997,0
12592.0,2011-05-10 13:44:00,2011-09-08 15:04:00,2,437.6,121
12593.0,2011-05-05 09:29:00,2011-08-23 12:43:00,3,418.1,110
12594.0,2011-01-21 09:52:00,2011-11-02 12:20:00,10,3338.2200000000003,285
12596.0,2011-04-11 13:22:00,2011-10-19 13:02:00,2,618.27,190
12597.0,2011-03-16 14:00:00,2011-11-20 13:33:00,4,3811.22,248
12598.0,2011-02-28 11:58:00,2011-11-30 12:18:00,8,3023.08,275
12599.0,2011-02-08 13:28:00,2011-11-10 13:34:00,7,1032.58,275
12600.0,2010-12-03 12:57:00,2011-11-11 10:29:00,10,2599.04,342
12601.0,2011-01-11 10:38:00,2011-06-03 10:17:00,5,577.0600000000001,142
12602.0,2011-10-12 11:22:00,2011-10-12 11:22:00,1,153.12,0
12603.0,2011-11-18 10:42:00,2011-11-18 10:42:00,1,739.1999999999999,0
12604.0,2011-03-23 12:06:00,2011-09-21 14:08:00,2,254.18,182
12607.0,2011-10-10 16:06:00,2011-10-10 16:06:00,1,1579.51,0
12609.0,2011-01-25 15:13:00,2011-09-22 16:34:00,3,1126.85,240
12610.0,2011-08-05 13:52:00,2011-11-17 09:34:00,5,2099.54,103
12611.0,2011-10-18 13:12:00,2011-10-18 13:12:00,1,1193.32,0
12612.0,2011-09-26 15:35:00,2011-09-26 15:35:00,1,704.04,0
12613.0,2011-03-22 15:42:00,2011-10-13 14:59:00,5,3344.38,204
12614.0,2011-03-07 10:22:00,2011-03-07 10:22:00,1,315.6,0
12615.0,2011-06-24 13:35:00,2011-12-07 15:02:00,4,2291.19,166
12616.0,2011-02-15 14:17:00,2011-09-05 15:17:00,2,713.3,202
12617.0,2011-11-10 14:39:00,2011-11-10 14:39:00,1,355.53000000000003,0
12618.0,2011-11-18 11:10:00,2011-11-18 11:10:00,1,177.31,0
12619.0,2011-03-31 13:10:00,2011-11-23 14:52:00,9,3641.24,237
12620.0,2011-05-19 12:10:00,2011-11-25 10:20:00,3,1339.41,189
12621.0,2010-12-09 10:16:00,2011-12-08 11:25:00,20,13689.67,364
12622.0,2011-04-21 16:39:00,2011-04-21 16:39:00,1,180.1,0
12623.0,2011-03-08 13:50:00,2011-03-08 13:50:00,1,305.1,0
12624.0,2011-06-15 12:34:00,2011-08-25 15:04:00,2,641.13,71
12625.0,2011-01-24 13:27:00,2011-05-12 09:54:00,2,2683.82,107
12626.0,2011-01-17 11:01:00,2011-11-16 16:06:00,9,6620.4800000000005,303
12627.0,2011-07-22 13:59:00,2011-11-29 12:07:00,7,4478.53,129
12628.0,2011-10-06 09:28:00,2011-12-05 13:15:00,3,786.46,60
12630.0,2011-10-27 10:41:00,2011-11-30 10:48:00,2,1270.88,34
12631.0,2011-10-13 13:53:00,2011-10-13 13:53:00,1,640.5,0
12633.0,2011-02-25 08:44:00,2011-10-12 11:40:00,4,2163.98,229
12635.0,2011-07-08 08:43:00,2011-09-11 11:04:00,2,1689.18,65
12637.0,2011-01-20 10:47:00,2011-10-03 13:46:00,8,6021.9,256
12638.0,2011-11-06 13:11:00,2011-11-06 13:11:00,1,671.69,0
12639.0,2011-04-15 12:48:00,2011-04-15 12:48:00,1,486.1,0
12640.0,2011-09-19 12:01:00,2011-11-16 11:52:00,3,1174.58,57
12641.0,2011-08-16 13:26:00,2011-08-16 13:26:00,1,185.9,0
12642.0,2011-08-24 09:23:00,2011-11-14 15:03:00,3,1013.26,82
12643.0,2011-01-11 11:48:00,2011-08-03 12:56:00,6,3344.64,204
12644.0,2011-08-02 10:33:00,2011-08-02 10:33:00,1,477.90999999999997,0
12645.0,2011-01-27 13:08:00,2011-11-06 12:38:00,4,1775.18,282
12646.0,2011-10-21 12:52:00,2011-12-05 10:14:00,2,1346.97,44
12647.0,2010-12-05 14:02:00,2011-11-17 12:56:00,12,3722.82,346
12648.0,2011-07-08 11:55:00,2011-07-08 11:55:00,1,318.05,0
12649.0,2011-05-11 14:37:00,2011-08-24 14:41:00,3,623.51,105
12650.0,2011-12-06 16:34:00,2011-12-06 16:34:00,1,314.44,0
12651.0,2011-01-09 12:46:00,2011-01-09 12:46:00,1,114.0,0
12652.0,2011-01-12 15:00:00,2011-01-12 15:00:00,1,919.98,0
12653.0,2011-02-16 10:53:00,2011-07-14 10:41:00,2,2209.85,147
12654.0,2011-02-17 13:16:00,2011-11-29 10:10:00,5,601.98,284
12656.0,2011-04-20 09:20:00,2011-11-22 13:42:00,5,4051.17,216
12657.0,2011-09-22 11:40:00,2011-11-28 15:47:00,4,1643.18,67
12658.0,2011-11-21 10:22:00,2011-11-21 10:22:00,1,686.05,0
12659.0,2011-11-10 11:53:00,2011-11-10 11:53:00,1,91.68,0
12660.0,2011-11-28 13:26:00,2011-11-28 13:26:00,1,245.10000000000002,0
12662.0,2010-12-01 13:04:00,2011-12-09 11:59:00,11,3849.78,372
12664.0,2011-01-21 11:42:00,2011-12-01 17:07:00,9,4881.88,314
12665.0,2011-01-19 08:34:00,2011-01-19 08:34:00,1,63.0,0
12667.0,2011-10-12 17:00:00,2011-10-12 17:00:00,1,620.13,0
12668.0,2010-12-19 12:46:00,2011-11-28 10:56:00,4,3807.15,343
12669.0,2011-03-28 10:15:00,2011-07-12 09:54:00,3,2744.0299999999997,105
12670.0,2011-04-21 10:16:00,2011-11-29 15:23:00,5,2996.05,222
12672.0,2011-01-14 09:20:00,2011-01-14 09:20:00,1,225.9,0
12673.0,2011-01-17 11:46:00,2011-12-04 13:55:00,2,610.52,321
12674.0,2011-05-16 09:10:00,2011-11-01 12:12:00,4,1970.6,169
12676.0,2011-02-01 15:41:00,2011-11-15 12:25:00,6,1331.39,286
12678.0,2010-12-21 11:00:00,2011-10-28 13:04:00,12,17628.46,311
12679.0,2011-03-01 12:26:00,2011-10-12 12:30:00,4,1113.02,225
12680.0,2011-08-18 15:44:00,2011-12-09 12:50:00,4,862.81,112
12681.0,2010-12-07 10:08:00,2011-11-25 11:33:00,22,13787.54,353
12682.0,2010-12-03 13:59:00,2011-12-06 10:00:00,31,12288.22,367
12683.0,2010-12-09 10:37:00,2011-12-05 16:31:00,15,8476.57,361
12684.0,2011-05-10 12:55:00,2011-12-02 09:53:00,7,2283.63,205
12685.0,2011-09-07 10:28:00,2011-11-11 13:46:00,6,2863.08,65
12686.0,2010-12-03 09:51:00,2010-12-03 09:51:00,1,89.14,0
12688.0,2011-08-18 08:49:00,2011-08-18 08:49:00,1,4873.81,0
12689.0,2011-08-04 10:04:00,2011-11-14 08:31:00,2,1247.6100000000001,101
12690.0,2011-05-18 09:09:00,2011-05-18 09:09:00,1,389.01,0
12691.0,2010-12-17 14:46:00,2011-11-11 16:49:00,6,1035.8,329
12693.0,2011-01-24 12:58:00,2011-08-04 17:51:00,4,855.91,192
12694.0,2011-06-09 17:48:00,2011-09-30 13:06:00,2,869.67,112
12695.0,2011-05-13 13:15:00,2011-12-02 13:22:00,4,582.1,203
12697.0,2011-06-23 15:44:00,2011-11-11 08:47:00,3,957.59,140
12700.0,2011-05-08 16:10:00,2011-12-02 10:47:00,4,4939.99,207
12701.0,2011-04-11 13:02:00,2011-09-21 10:47:00,2,797.71,162
