customerid,first_purchase,last_purchase,total_orders,total_revenue,tenure_days,customer_type
12346.0,2011-01-18 10:01:00,2011-01-18 10:01:00,1,77183.6,0,One-time
12347.0,2010-12-07 14:57:00,2011-12-07 15:52:00,7,4310.0,365,Returning
12348.0,2010-12-16 19:09:00,2011-09-25 13:13:00,4,1797.24,282,Returning
12349.0,2011-11-21 09:51:00,2011-11-21 09:51:00,1,1757.55,0,One-time
12350.0,2011-02-02 16:01:00,2011-02-02 16:01:00,1,334.40000000000003,0,One-time
12352.0,2011-02-16 12:33:00,2011-11-03 14:37:00,8,2506.04,260,Returning
12353.0,2011-05-19 17:47:00,2011-05-19 17:47:00,1,89.0,0,One-time
12354.0,2011-04-21 13:11:00,2011-04-21 13:11:00,1,1079.4,0,One-time
12355.0,2011-05-09 13:49:00,2011-05-09 13:49:00,1,459.4,0,One-time
12356.0,2011-01-18 09:50:00,2011-11-17 08:40:00,3,2811.43,302,Returning
12357.0,2011-11-06 16:07:00,2011-11-06 16:07:00,1,6207.67,0,One-time
12358.0,2011-07-12 10:04:00,2011-12-08 10:26:00,2,1168.06,149,Returning
12359.0,2011-01-12 12:43:00,2011-10-13 12:47:00,4,6372.58,274,Returning
12360.0,2011-05-23 09:43:00,2011-10-18 15:22:00,3,2662.06,148,Returning
12361.0,2011-02-25 13:51:00,2011-02-25 13:51:00,1,189.9,0,One-time
12362.0,2011-02-17 10:30:00,2011-12-06 15:40:00,10,5226.2300000000005,292,Returning
12363.0,2011-04-11 13:29:00,2011-08-22 10:18:00,2,552.0,132,Returning
12364.0,2011-08-19 15:24:00,2011-12-02 10:22:00,4,1313.1,104,Returning
12365.0,2011-02-21 13:51:00,2011-02-21 14:04:00,2,641.38,0,Returning
12367.0,2011-12-05 16:48:00,2011-12-05 16:48:00,1,168.9,0,One-time
12370.0,2010-12-14 12:58:00,2011-10-19 14:51:00,4,3545.69,309,Returning
12371.0,2011-10-11 10:43:00,2011-10-26 10:16:00,2,1887.96,14,Returning
12372.0,2011-02-16 12:46:00,2011-09-29 12:12:00,3,1298.04,224,Returning
12373.0,2011-02-01 13:10:00,2011-02-01 13:10:00,1,364.6,0,One-time
