event_date,view,cart,purchase,cart_rate,purchase_rate
2019-10-01,166027,7743,12394,0.04663699277828305,0.07465050865220717
2019-10-02,62669,3521,5999,0.0561840782524055,0.09572515916960539
2019-10-03,26778,2150,3056,0.08028979012622302,0.11412353424452909
2019-10-04,29169,4345,3862,0.14895951181048372,0.1324008365045082
2019-10-05,24127,2989,2995,0.12388610270651138,0.12413478675342977
2019-10-06,22585,2465,2621,0.109143236661501,0.1160504759796325
2019-10-07,22201,1380,2492,0.062159362190892305,0.11224719607224899
2019-10-08,23278,1314,2511,0.05644814846636309,0.10787009193229659
2019-10-09,22181,1277,2304,0.05757179568098823,0.10387268382850187
2019-10-10,21401,1294,2238,0.06046446427737022,0.10457455259100042
2019-10-11,23415,1475,2783,0.06299380738842622,0.11885543455050182
2019-10-12,20365,1191,2369,0.058482690891234965,0.11632703167198626
2019-10-13,21684,1528,2806,0.07046670356022874,0.1294041689725143
2019-10-14,21915,3050,2525,0.13917408167921516,0.11521788729180926
2019-10-15,22631,2903,2332,0.12827537448632406,0.10304449648711944
2019-10-16,20575,2459,2397,0.11951397326852976,0.11650060753341433
2019-10-17,19550,2265,2283,0.11585677749360614,0.11677749360613811
2019-10-18,20480,2098,2057,0.10244140625,0.100439453125
2019-10-19,18527,1995,1973,0.10768068224753063,0.10649322610244508
2019-10-20,18550,1956,1837,0.10544474393530998,0.09902964959568733
2019-10-21,18245,1911,2021,0.10474102493833927,0.11077007399287477
2019-10-22,17465,1841,1881,0.10541082164328658,0.10770111651875179
2019-10-23,17105,1793,1788,0.10482315112540193,0.10453083893598362
2019-10-24,16262,1705,1811,0.10484565244127414,0.11136391587750584
2019-10-25,18046,1803,1874,0.09991133769256345,0.1038457275850604
2019-10-26,15834,1655,1647,0.10452191486674245,0.10401667298219022
2019-10-27,15671,1546,1669,0.09865356390785528,0.10650245676727714
2019-10-28,15749,806,1454,0.05117785256206743,0.09232332211568989
2019-10-29,15246,795,1459,0.0521448248720976,0.09569723206086843
2019-10-30,14882,758,1465,0.050934014245397126,0.09844106974868969
2019-10-31,15170,786,1441,0.05181278839815425,0.0949901120632828
